FL_DATE,OP_CARRIER,OP_CARRIER_FL_NUM,ORIGIN,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,DIVERTED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,DISTANCE
2018-08-21,AA,538,MEM,CLT,545,536,-9,11,547,800,10,827,810,-17,0,0,102,94,73,511
2018-09-04,AA,1449,DFW,GRR,1020,1014,-6,11,1025,1325,6,1341,1331,-10,0,0,141,137,120,931
2018-06-07,DL,380,RDU,DTW,1720,1727,7,14,1741,1903,5,1913,1908,-5,0,0,113,101,82,501
2018-02-15,OO,3553,CVG,ORD,1700,1819,79,28,1847,1842,11,1720,1853,93,0,0,80,94,55,264
2018-05-01,MQ,4038,LGA,CHO,1015,1009,-6,17,1026,1112,2,1150,1114,-36,0,0,95,65,46,305
2018-08-06,DL,2905,DTW,LAX,1821,1840,19,14,1854,2022,7,2010,2029,19,0,0,289,289,268,1979
2018-06-10,OO,4287,DTW,ERI,2035,2031,-4,22,2053,2125,3,2134,2128,-6,0,0,59,57,32,164
2018-11-19,OO,7372,MSP,BJI,2230,2222,-8,28,2250,2326,3,2334,2329,-5,0,0,64,67,36,199
2018-03-08,UA,628,LGA,ORD,700,NA,NA,NA,NA,NA,NA,840,NA,NA,1,0,160,NA,NA,733
2018-12-17,WN,1842,LAX,SFO,1220,1219,-1,14,1233,1331,7,1345,1338,-7,0,0,85,79,58,337
2018-10-23,AS,748,SEA,STL,1215,1215,0,24,1239,1806,6,1812,1812,0,0,0,237,237,207,1709
2018-06-01,DL,2615,SLC,SAN,1500,1457,-3,9,1506,1530,4,1550,1534,-16,0,0,110,97,84,626
2018-09-19,MQ,3728,CLT,HTS,1425,1418,-7,29,1447,1531,9,1534,1540,6,0,0,69,82,44,235
2018-08-01,UA,2130,RDU,SFO,1855,1852,-3,30,1922,2139,7,2138,2146,8,0,0,343,354,317,2400
2018-08-05,OH,5447,CLT,ORF,1450,1739,169,10,1749,1837,3,1601,1840,159,0,0,71,61,48,290
2018-08-13,WN,2539,DAL,LGA,1800,1827,27,12,1839,2222,6,2220,2228,8,0,0,200,181,163,1381
2018-01-13,B6,563,FLL,SJU,1215,1214,-1,24,1238,1551,4,1546,1555,9,0,0,151,161,133,1046
2018-07-08,WN,4803,MCO,MDW,1720,1721,1,12,1733,1846,4,1905,1850,-15,0,0,165,149,133,990
2018-05-26,UA,684,IAH,SNA,1805,1804,-1,14,1818,1925,5,1940,1930,-10,0,0,215,206,187,1346
2018-09-01,WN,5891,LAX,TUS,1120,1122,2,16,1138,1238,3,1255,1241,-14,0,0,95,79,60,451
2018-01-17,OO,5938,HDN,LAX,1540,1526,-14,26,1552,1629,8,1703,1637,-26,0,0,143,131,97,763
2018-11-22,EV,4362,SYR,ORD,1900,1839,-21,13,1852,1927,7,2025,1934,-51,0,0,145,115,95,607
2018-01-05,WN,6302,ATL,LGA,1530,1536,6,13,1549,1741,4,1745,1745,0,0,0,135,129,112,762
2018-01-29,DL,2323,LAX,TPA,1035,1030,-5,16,1046,1808,2,1805,1810,5,0,0,270,280,262,2158
2018-02-17,DL,941,MCI,ATL,600,559,-1,15,614,846,8,900,854,-6,0,0,120,115,92,692
2018-08-28,HA,587,KOA,HNL,915,903,-12,9,912,939,8,1003,947,-16,0,0,48,44,27,163
2018-06-01,OO,5657,FAR,DEN,1335,1327,-8,15,1342,1422,7,1440,1429,-11,0,0,125,122,100,627
2018-07-23,UA,626,ORD,PHL,1820,1923,63,26,1949,2218,13,2130,2231,61,0,0,130,128,89,678
2018-07-05,UA,1261,BOI,DEN,1430,1429,-1,14,1443,1610,7,1621,1617,-4,0,0,111,108,87,649
2018-05-14,OO,5671,DEN,COS,1858,2004,66,21,2025,2044,4,1945,2048,63,0,0,47,44,19,73
2018-09-30,F9,1448,ATL,SJU,1154,1225,31,17,1242,1552,5,1532,1557,25,0,0,218,212,190,1547
2018-07-13,OO,4549,ATL,RST,1352,1348,-4,24,1412,1501,4,1517,1505,-12,0,0,145,137,109,831
2018-01-10,YX,6137,LGA,DCA,1000,1010,10,46,1056,1141,4,1130,1145,15,0,0,90,95,45,214
2018-01-08,YV,5776,HOU,DFW,1237,1255,18,14,1309,1354,12,1349,1406,17,0,0,72,71,45,247
2018-12-21,DL,769,ATL,MKE,2246,2242,-4,14,2256,2333,4,2353,2337,-16,0,0,127,115,97,669
2018-02-05,AA,1523,FLL,DFW,1458,1520,22,19,1539,1728,5,1720,1733,13,0,0,202,193,169,1119
2018-05-18,B6,182,BNA,FLL,1615,1638,23,11,1649,1949,6,1933,1955,22,0,0,138,137,120,793
2018-12-22,AA,1880,PHX,SFO,855,849,-6,16,905,945,3,1002,948,-14,0,0,127,119,100,651
2018-01-05,UA,262,SEA,IAD,2244,2247,3,18,2305,617,7,633,624,-9,0,0,289,277,252,2306
2018-02-27,AA,1510,RDU,PHL,600,553,-7,20,613,710,3,724,713,-11,0,0,84,80,57,337
2018-01-15,9E,3493,DTW,SAT,830,828,-2,64,932,1136,5,1123,1141,18,0,0,233,253,184,1214
2018-06-14,WN,1946,PHX,MSY,1500,1521,21,6,1527,2003,4,2005,2007,2,0,0,185,166,156,1300
2018-01-14,OO,4686,DTW,LEX,825,820,-5,44,904,951,5,1000,956,-4,0,0,95,96,47,296
2018-06-09,WN,3245,DEN,ATL,700,659,-1,17,716,1147,6,1155,1153,-2,0,0,175,174,151,1199
2018-07-14,G4,2915,MCI,VPS,1057,1117,20,9,1126,1302,11,1257,1313,16,0,0,120,116,96,764
2018-12-13,EV,4456,IAH,AMA,935,1015,40,24,1039,1155,4,1125,1159,34,0,0,110,104,76,517
2018-09-27,EV,4390,IAH,LRD,2130,2128,-2,14,2142,2233,4,2244,2237,-7,0,0,74,69,51,301
2018-02-18,OO,3521,DTW,CID,1215,1212,-3,16,1228,1247,5,1302,1252,-10,0,0,107,100,79,430
2018-09-13,WN,139,STL,PHX,930,928,-2,10,938,1022,6,1045,1028,-17,0,0,195,180,164,1262
2018-12-17,MQ,3585,DFW,LIT,845,840,-5,13,853,943,5,1001,948,-13,0,0,76,68,50,304
2018-07-21,AA,1732,RSW,CLT,1008,1001,-7,15,1016,1152,15,1207,1207,0,0,0,119,126,96,600
2018-05-15,UA,1802,LAX,LAS,818,827,9,21,848,929,6,935,935,0,0,0,77,68,41,236
2018-04-12,OO,5897,LAX,SLC,901,855,-6,14,909,1128,18,1208,1146,-22,0,0,127,111,79,590
2018-06-29,NK,470,LAS,DFW,1157,1302,65,13,1315,1727,9,1643,1736,53,0,0,166,154,132,1055
2018-10-21,DL,1969,ATL,MCO,755,752,-3,13,805,907,8,920,915,-5,0,0,85,83,62,404
2018-03-11,AA,1656,PHX,ATL,1610,1604,-6,10,1614,2210,8,2240,2218,-22,0,0,210,194,176,1587
2018-06-13,MQ,4063,TYR,DFW,701,649,-12,33,722,754,4,810,758,-12,0,0,69,69,32,102
2018-05-06,WN,2151,DCA,AUS,1650,1651,1,8,1659,1856,29,1925,1925,0,0,0,215,214,177,1315
2018-10-16,WN,223,MDW,DEN,745,747,2,14,801,909,4,925,913,-12,0,0,160,146,128,895
2018-10-08,WN,40,HOU,DAL,1600,NA,NA,NA,NA,NA,NA,1700,NA,NA,1,0,60,NA,NA,239
2018-05-01,DL,983,LAX,SEA,1500,1457,-3,13,1510,1741,10,1748,1751,3,0,0,168,174,151,954
2018-09-17,AA,452,ONT,PHX,953,952,-1,8,1000,1050,11,1109,1101,-8,0,0,76,69,50,325
2018-11-22,YV,5850,PHX,SBA,838,833,-5,18,851,913,4,915,917,2,0,0,97,104,82,455
2018-06-09,NK,201,FLL,STT,1250,1253,3,12,1305,1521,5,1524,1526,2,0,0,154,153,136,1107
2018-01-12,DL,1268,DFW,LAX,1535,1534,-1,14,1548,1648,10,1701,1658,-3,0,0,206,204,180,1235
2018-02-05,UA,207,SFO,LAX,1450,1445,-5,21,1506,1602,13,1632,1615,-17,0,0,102,90,56,337
2018-04-04,OO,3324,DAL,LGA,1220,1534,194,16,1550,1931,5,1658,1936,158,0,0,218,182,161,1381
2018-11-18,HA,70,HNL,LGB,1320,1328,8,20,1348,2045,7,2050,2052,2,0,0,330,324,297,2569
2018-11-13,MQ,4109,MIA,PNS,2151,2143,-8,28,2211,2231,4,2249,2235,-14,0,0,118,112,80,530
2018-09-04,MQ,3340,DFW,LIT,1024,1021,-3,18,1039,1132,5,1141,1137,-4,0,0,77,76,53,304
2018-08-06,OO,4786,ATL,AEX,924,919,-5,18,937,954,3,1005,957,-8,0,0,101,98,77,500
2018-10-28,WN,2922,LGA,FLL,1200,1201,1,18,1219,1445,3,1510,1448,-22,0,0,190,167,146,1076
2018-09-07,DL,2021,DTW,OMA,2053,2048,-5,13,2101,2133,3,2159,2136,-23,0,0,126,108,92,651
2018-11-02,OO,3578,ATL,ROA,855,853,-2,24,917,1021,4,1016,1025,9,0,0,81,92,64,357
2018-08-29,EV,4113,BUF,EWR,1550,1541,-9,24,1605,1704,10,1718,1714,-4,0,0,88,93,59,282
2018-09-10,OO,3096,CVG,ORD,1600,1618,18,12,1630,1619,11,1625,1630,5,0,0,85,72,49,264
2018-03-11,EV,5438,BHM,LGA,1641,2104,263,9,2113,2354,4,2015,2358,223,0,0,154,114,101,866
2018-08-14,UA,1837,EWR,AUS,2020,43,263,15,58,301,4,2308,305,237,0,0,228,202,183,1504
2018-10-19,YV,5989,DFW,BMI,1825,2036,131,16,2052,2231,4,2023,2235,132,0,0,118,119,99,690
2018-03-13,OO,4539,TUS,SLC,715,706,-9,12,718,950,16,1016,1006,-10,0,0,121,120,92,601
2018-02-16,NK,643,DTW,TPA,800,749,-11,12,801,1018,6,1041,1024,-17,0,0,161,155,137,983
2018-03-22,WN,6400,SAN,SMF,2055,2118,23,10,2128,2237,3,2225,2240,15,0,0,90,82,69,480
2018-09-29,UA,1074,SAV,EWR,1115,1105,-10,12,1117,1246,5,1319,1251,-28,0,0,124,106,89,708
2018-05-22,AA,2656,DFW,CLT,1020,1040,20,14,1054,1355,8,1351,1403,12,0,0,151,143,121,936
