FL_DATE,OP_CARRIER,OP_CARRIER_FL_NUM,ORIGIN,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,DIVERTED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,DISTANCE
2016-06-16,WN,615,IND,BOS,640,636,-4,13,649,836,12,850,848,-2,0,0,130,132,107,818
2016-09-17,OO,5307,DEN,TUS,1900,1858,-2,13,1911,1952,4,2005,1956,-9,0,0,125,118,101,639
2016-01-29,AA,697,LIH,PHX,2315,2259,-16,12,2311,707,3,809,710,-59,0,0,354,311,296,2979
2016-12-03,WN,5287,SAN,SFO,1635,1629,-6,11,1640,1749,7,1810,1756,-14,0,0,95,87,69,447
2016-10-18,UA,649,DFW,IAH,1655,1859,124,23,1922,1959,11,1809,2010,121,0,0,74,71,37,224
2016-08-15,DL,1857,SLC,SEA,802,800,-2,13,813,854,2,910,856,-14,0,0,128,116,101,689
2016-05-28,WN,2293,PHL,MDW,935,930,-5,10,940,1011,5,1040,1016,-24,0,0,125,106,91,668
2016-02-08,DL,2389,PDX,SLC,1830,1821,-9,9,1830,2052,4,2110,2056,-14,0,0,100,95,82,630
2016-02-08,WN,1924,SEA,OAK,1755,1754,-1,6,1800,1936,7,1955,1943,-12,0,0,120,109,96,672
2016-06-23,AA,2358,MSY,DFW,1611,1645,34,17,1702,1809,21,1750,1830,40,0,0,99,105,67,447
2016-09-07,AA,482,ORD,PHL,1852,2031,99,15,2046,2321,5,2155,2326,91,0,0,123,115,95,678
2016-10-29,DL,1276,CMH,ATL,1300,1258,-2,13,1311,1417,6,1444,1423,-21,0,0,104,85,66,447
2016-07-26,OO,3051,YUM,PHX,1140,1131,-9,13,1144,1221,14,1241,1235,-6,0,0,61,64,37,160
2016-05-28,AA,1302,FLL,DFW,1137,1137,0,31,1208,1339,5,1355,1344,-11,0,0,198,187,151,1119
2016-11-04,DL,2062,MSP,BOS,1730,1728,-2,12,1740,2049,5,2115,2054,-21,0,0,165,146,129,1124
2016-04-07,OO,4466,PIA,DTW,630,621,-9,15,636,833,9,903,842,-21,0,0,93,81,57,346
2016-06-24,DL,1601,BOS,ATL,830,821,-9,20,841,1051,8,1117,1059,-18,0,0,167,158,130,946
2016-12-06,WN,2577,HOU,PNS,1720,1717,-3,18,1735,1837,4,1840,1841,1,0,0,80,84,62,488
2016-12-30,AA,850,SJU,PHL,925,921,-4,15,936,1235,3,1238,1238,0,0,0,253,257,239,1576
2016-08-06,OO,5497,ORD,DSM,1220,1214,-6,19,1233,1325,10,1345,1335,-10,0,0,85,81,52,299
2016-08-24,WN,472,DEN,LAS,1155,1148,-7,13,1201,1229,10,1245,1239,-6,0,0,110,111,88,628
2016-12-17,UA,15,EWR,HNL,845,1138,173,100,1318,1922,14,1511,1936,265,0,0,686,778,664,4962
2016-07-13,EV,5093,ATL,DHN,1954,1950,-4,13,2003,1936,4,1954,1940,-14,0,0,60,50,33,170
2016-09-28,UA,1283,ORD,MCO,750,815,25,13,828,1130,5,1134,1135,1,0,0,164,140,122,1005
2016-07-02,AA,1594,MSY,DFW,600,555,-5,9,604,709,7,736,716,-20,0,0,96,81,65,447
2016-11-16,WN,3281,SAT,LAS,1100,1056,-4,10,1106,1130,6,1200,1136,-24,0,0,180,160,144,1069
